"Laikotarpis","Rodiklis","Pajamų, sąnaudų, pelno sudedamosios dalys","Ekonominės veiklos rūšis (EVRK 2 red., 2 ženklų lygiu)","Matavimo vienetai","Reikšmė"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","39409"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","62349"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","65266"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","58130"
"2014K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","51630"
"2014K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","64050"
"2014K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","64268"
"2014K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","53328"
"2015K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","36807"
"2015K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","54188"
"2015K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","48802"
"2015K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","46797"
"2016K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","32186"
"2016K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","56780"
"2016K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","52584"
"2016K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","47468"
"2017K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","39607"
"2017K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","62306"
"2017K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","58232"
"2017K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","59222"
"2018K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","33908"
"2018K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","64447"
"2018K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","68276"
"2018K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","57697"
"2019K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","46949"
"2019K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","70686"
"2019K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","74811"
"2019K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","63963"
"2020K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Kasyba ir karjerų eksploatavimas","tūkst. EUR","48141"
"2007K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","2664364"
"2007K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3306935"
"2007K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3587063"
"2007K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3406641"
"2008K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3672932"
"2008K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4436973"
"2008K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4489588"
"2008K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3399988"
"2009K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","2596582"
"2009K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","2826041"
"2009K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3039551"
"2009K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","2933047"
"2010K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","2695262"
"2010K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3393024"
"2010K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3703692"
"2010K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4015658"
"2011K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","3917121"
"2011K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4310672"
"2011K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4639773"
"2011K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4481955"
"2012K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4328959"
"2012K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4249558"
"2012K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","5137117"
"2012K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","5002297"
"2013K1","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4702940"
"2013K2","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4529722"
"2013K3","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4898177"
"2013K4","Įmonių pajamos, sąnaudos, pelnas","Pardavimo pajamos","Apdirbamoji gamyba","tūkst. EUR","4708997"
